SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180717,AP002,AISA01,OBLIGASI TPS FOOD I TAHUN 2013,,1.702000,,,
IBPA,20180717,AP002,APLN01CN3,OBL BKLJT I AGUNG PODOMORO LAND THP III TH 2014,103.550635,101.960000,105.150635,101.950635,
IBPA,20180717,AP002,ASDF03BCN4,OBL BKL III ASTRA SEDAYA FINANCE THP IV TH17 SR B,97.720000,99.020000,99.020000,96.420000,
IBPA,20180717,AP002,BACA02SB,OBLIGASI SUBORDINASI BANK CAPITAL II TAHUN 2015,94.276014,91.670000,96.884341,91.667687,
IBPA,20180717,AP002,BACA03SB,OBLIGASI SUBORDINASI BANK CAPITAL III TAHUN 2017,89.020817,86.420000,91.629144,86.412491,
IBPA,20180717,AP002,BBKP01SBCN1,OBL SUB BERKELANJUTAN I BANK BUKOPIN THP I TH 2012,101.929045,100.300000,103.567453,100.290637,
IBPA,20180717,AP002,BBRI01BCN2,OBL BKLJT I BANK BRI TAHAP II TAHUN 2016 SERI B,101.224324,100.230000,102.224324,100.224324,
IBPA,20180717,AP002,BBRI01BCN3,OBL BKLJT I BANK BRI TAHAP III TAHUN 2016 SERI B,101.301698,102.250000,102.301698,100.301698,
IBPA,20180717,AP002,BBTN02ACN2,OBL BKLJT II BANK BTN TAHAP II TAHUN 2016 SERI A,100.306118,100.020000,101.770439,98.841796,
IBPA,20180717,AP002,BNGA02BCN3,OBL BKLJT II BANK CIMB NIAGA THP III TH2017 SERI B,98.035787,99.335787,99.335787,96.735787,
IBPA,20180717,AP002,BNLI01SBCN2,OBL SUBORDINASI BKLJ I BANK PERMATA THP II TH 2012,101.659907,100.200000,103.124228,100.195585,
IBPA,20180717,AP002,BVIC03SB,OBLIGASI SUBORDINASI BANK VICTORIA III TAHUN 2013,98.469785,96.470000,100.469785,96.469785,
IBPA,20180717,AP002,FR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0064,90.291645,89.930000,90.654157,89.929133,
IBPA,20180717,AP002,FR0069,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0069,100.925000,100.730000,101.125000,100.725000,
IBPA,20180717,AP002,IMFI03ACN3,OBL BKLJ III INDOMOBIL FINANCE THP III TH2018 SR A,100.200938,99.010000,101.400938,99.000938,
IBPA,20180717,AP002,INDF07,OBLIGASI INDOFOOD SUKSES MAKMUR VII TAHUN 2014,102.621252,101.630000,103.621252,101.621252,
IBPA,20180717,AP002,ISAT01BCN4,OBL BKLJT I INDOSAT TAHAP IV TAHUN 2016 SERI B,100.807222,99.510000,102.107222,99.507222,
IBPA,20180717,AP002,ISAT08A,OBLIGASI INDOSAT VIII TAHUN 2012 SERI A,101.336536,102.330000,102.336536,100.336536,
IBPA,20180717,AP002,JSMR01CCN1S,OBL BKLJT I JASA MARGA THP I TH 2013 SERI S-SERI C,100.429085,99.430000,101.429085,99.429085,
IBPA,20180717,AP002,MEDC03ACN1,OBL BKLJT III MEDCO ENERGI INTL THP I TH 18 SR A,96.347490,94.750000,97.947490,94.747490,
IBPA,20180717,AP002,MYOR04,OBLIGASI IV MAYORA INDAH TAHUN 2012,101.025000,100.025000,102.025000,100.025000,
IBPA,20180717,AP002,NISP02ACN4,OBL BKLJT II BANK OCBC NISP THP IV TH 2018 SERI A,99.014732,98.020000,100.014732,98.014732,
IBPA,20180717,AP002,OTMA01B,OBLIGASI I OTO MULTIARTHA TAHUN 2017 SERI B,99.657933,100.720000,101.122254,98.193611,
IBPA,20180717,AP002,PBS014,SBSN Seri PBS014,97.405749,97.630749,97.630749,97.180749,
IBPA,20180717,AP002,PBS017,SBSN Seri PBS017,90.381748,90.020000,90.744260,90.019236,
IBPA,20180717,AP002,PIGN01A,OBLIGASI I PELINDO 1 GERBANG NUSANTARA TH 16 SR A,100.360914,100.520000,101.360914,99.360914,
IBPA,20180717,AP002,PNBN01SBCN1,OBL SUB BKLJT I BANK PANIN TAHAP I TAHUN 2012,101.452787,99.990000,102.917108,99.988465,
IBPA,20180717,AP002,SIAISA02,SUKUK IJARAH TPS FOOD II TAHUN 2016,,101.530000,,,
IBPA,20180717,AP002,SMII01ACN2,OBL BKLJT I SARANA MULTI INFRA. THP II TH2017 SR A,99.806638,98.810000,100.806638,98.806638,
IBPA,20180717,AP002,SMRA01CN1,OBL BKLJT I SUMMARECON AGUNG TAHAP I TAHUN 2013,101.113345,99.920000,102.313345,99.913345,
IBPA,20180717,AP002,SPSMFBTN04A1,EBA-SP SMF-BTN04 KELAS A SERI A1,97.546394,95.950000,99.146394,95.946394,
IBPA,20180717,BJ002,BCAP02CN1,OBL BKLJT II MNC KAPITAL INDONESIA THP I TH 2018,100.688933,100.688933,103.297260,98.080606,
IBPA,20180717,BJ002,BMTR01ACN1,OBL BKLJT I GLOBAL MEDIACOM THP I TH 2017 SERI A,98.129630,98.129630,100.129630,96.129630,
IBPA,20180717,BJ002,FR0044,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0044,111.555507,111.555507,111.855507,111.255507,
IBPA,20180717,BJ002,FR0045,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0045,113.797662,113.797662,114.097662,113.497662,
IBPA,20180717,BJ002,FR0047,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0047,115.122833,115.122833,115.485345,114.760320,
IBPA,20180717,BJ002,FR0048,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0048,100.657187,100.657187,100.857187,100.457187,
IBPA,20180717,BJ002,FR0056,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056,104.226054,104.226054,104.588566,103.863542,
IBPA,20180717,BJ002,FR0059,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0059,96.000000,96.000000,96.362512,95.637488,
IBPA,20180717,BJ002,FR0061,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0061,98.828968,98.828968,99.088968,98.568968,
IBPA,20180717,BJ002,FR0063,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0063,92.399375,92.399375,92.659375,92.139375,
IBPA,20180717,BJ002,FR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0064,90.291645,90.291645,90.654157,89.929133,
IBPA,20180717,BJ002,FR0070,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0070,103.488549,103.488549,103.748549,103.228549,
IBPA,20180717,BJ002,FR0072,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0072,101.574242,101.574242,101.874242,101.274242,
IBPA,20180717,BJ002,PBS011,SBSN Seri PBS011,104.189357,104.189357,104.449357,103.929357,
IBPA,20180717,BJ002,PBS012,SBSN Seri PBS012,105.402851,105.402851,105.702851,105.102851,
IBPA,20180717,BJ002,PBS016,SBSN Seri PBS016,98.540798,98.540798,98.765798,98.315798,
IBPA,20180717,BJ002,PBS017,SBSN Seri PBS017,90.381748,90.381748,90.744260,90.019236,
IBPA,20180717,BJ002,SMII01ACN2,OBL BKLJT I SARANA MULTI INFRA. THP II TH2017 SR A,99.806638,99.806638,100.806638,98.806638,
IBPA,20180717,BZ002,ADHI01BCN1,OBL BERKELANJUTAN I ADHI TAHAP I TAHUN 2012 SERI B,100.582176,100.582200,101.782176,99.382176,
IBPA,20180717,BZ002,ADHI02CN1,OBL BERKELANJUTAN II ADHI KARYA TAHAP I TAHUN 2017,95.020264,95.020300,97.020264,93.020264,
IBPA,20180717,BZ002,ADMF02CCN3,OBL BKLJT II ADIRA FINANCE TAHAP III TH2014 SERI C,102.860363,102.860400,103.860363,101.860363,
IBPA,20180717,BZ002,ADMF02CCN4,OBL BKLJT II ADIRA FINANCE TAHAP IV TH 2014 SERI C,103.403305,103.403300,104.703305,102.103305,
IBPA,20180717,BZ002,ADMF03ACN6,OBL BKLJT III ADIRA FINANCE TAHAP VI TH 2017 SR A,100.020582,100.000000,101.020582,99.020582,
IBPA,20180717,BZ002,ADMF03BCN1,OBL BKLJT III ADIRA FINANCE TAHAP I TH 2015 SERI B,103.159758,103.159800,104.459758,101.859758,
IBPA,20180717,BZ002,ADMF03BCN2,OBL BKLJT III ADIRA FINANCE TAHAP II TH2015 SERI B,100.341824,100.341800,101.341824,99.341824,
IBPA,20180717,BZ002,ADMF03BCN4,OBL BKLJT III ADIRA FINANCE TAHAP IV TH 2016 SR B,101.034605,101.034600,102.334605,99.734605,
IBPA,20180717,BZ002,ADMF03BCN5,OBL BKLJT III ADIRA FINANCE TAHAP V TH 2017 SR B,100.570163,100.570200,101.870163,99.270163,
IBPA,20180717,BZ002,ADMF03BCN6,OBL BKLJT III ADIRA FINANCE TAHAP VI TH 2017 SR B,98.984173,98.984200,100.284173,97.684173,
IBPA,20180717,BZ002,ADMF03CCN2,OBL BKLJT III ADIRA FINANCE TAHAP II TH2015 SERI C,103.220035,103.220000,104.520035,101.920035,
IBPA,20180717,BZ002,ADMF03CCN6,OBL BKLJT III ADIRA FINANCE TAHAP VI TH 2017 SR C,97.815736,97.815700,99.415736,96.215736,
IBPA,20180717,BZ002,ADMF04ACN1,OBL BKLJT IV ADIRA FINANCE THP I TH 2017 SERI A,99.711137,99.711100,100.711137,98.711137,
IBPA,20180717,BZ002,ADMF04BCN1,OBL BKLJT IV ADIRA FINANCE THP I TH 2017 SERI B,99.897700,99.897700,101.197700,98.597700,
IBPA,20180717,BZ002,ADMF04CCN1,OBL BKLJT IV ADIRA FINANCE THP I TH 2017 SERI C,94.430771,94.430800,96.030771,92.830771,
IBPA,20180717,BZ002,ADMF04CCN2,OBL BKLJT IV ADIRA FINANCE THP II TH 2018 SERI C,96.699141,96.699100,97.999141,95.399141,
IBPA,20180717,BZ002,AKRA01ACN1,OBL BKLJT I AKR CORPORINDO THP I TAHUN 2017 SERI A,98.925605,98.925600,100.389927,97.461284,
IBPA,20180717,BZ002,AKRA01B,OBLIGASI I AKR CORPORINDO TAHUN 2012 SERI B,100.086420,100.086400,101.550741,98.622099,
IBPA,20180717,BZ002,AKRA01BCN1,OBL BKLJT I AKR CORPORINDO THP I TAHUN 2017 SERI B,96.810316,96.810300,98.800448,94.820185,
IBPA,20180717,BZ002,AKRA01CCN1,OBL BKLJT I AKR CORPORINDO THP I TAHUN 2017 SERI C,95.352895,95.352900,97.343026,93.362763,
IBPA,20180717,BZ002,AMRT01BCN2,OBL BKLJ I SUMBER ALFARIA TRIJAYA THP II TH15 SR B,101.666987,101.667000,103.131308,100.202665,
IBPA,20180717,BZ002,AMRT02CN1,OBL BKLJT II SUMBER ALFARIA TRIJAYA THP I TH 2017,99.566194,99.566200,101.030515,98.101873,
IBPA,20180717,BZ002,AMRT02CN2,OBL BKLJT II SUMBER ALFARIA TRIJAYA THP II TH 2018,95.228545,95.228500,96.692867,93.764224,
IBPA,20180717,BZ002,ANTM01ACN1,OBL BERKELANJUTAN I ANTAM TAHAP I TH 2011 SERI A,99.680488,99.680500,101.318896,98.042080,
