SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,AP002,AISA01,OBLIGASI TPS FOOD I TAHUN 2013,,1.702000,,,
IBPA,20180813,AP002,APLN01CN3,OBL BKLJT I AGUNG PODOMORO LAND THP III TH 2014,103.628344,102.030000,105.228344,102.028344,
IBPA,20180813,AP002,ASDF03BCN4,OBL BKL III ASTRA SEDAYA FINANCE THP IV TH17 SR B,98.348403,99.648403,99.648403,97.048403,
IBPA,20180813,AP002,BACA02SB,OBLIGASI SUBORDINASI BANK CAPITAL II TAHUN 2015,94.310562,91.650000,96.977762,91.643362,
IBPA,20180813,AP002,BACA03SB,OBLIGASI SUBORDINASI BANK CAPITAL III TAHUN 2017,88.653139,85.990000,91.320339,85.985938,
IBPA,20180813,AP002,BBKP01SBCN1,OBL SUB BERKELANJUTAN I BANK BUKOPIN THP I TH 2012,101.803173,100.310000,103.303173,100.303173,
IBPA,20180813,AP002,BBRI01BCN2,OBL BKLJT I BANK BRI TAHAP II TAHUN 2016 SERI B,101.055381,100.060000,102.055381,100.055381,
IBPA,20180813,AP002,BBRI01BCN3,OBL BKLJT I BANK BRI TAHAP III TAHUN 2016 SERI B,101.044621,102.000000,102.044621,100.044621,
IBPA,20180813,AP002,BBTN02ACN2,OBL BKLJT II BANK BTN TAHAP II TAHUN 2016 SERI A,100.464215,101.520000,101.764215,99.164215,
IBPA,20180813,AP002,BNGA02BCN3,OBL BKLJT II BANK CIMB NIAGA THP III TH2017 SERI B,100.001983,100.100000,101.301983,98.701983,
IBPA,20180813,AP002,BNLI01SBCN2,OBL SUBORDINASI BKLJ I BANK PERMATA THP II TH 2012,101.719639,100.420000,103.019639,100.419639,
IBPA,20180813,AP002,BVIC03SB,OBLIGASI SUBORDINASI BANK VICTORIA III TAHUN 2013,99.500000,97.500000,101.500000,97.500000,
IBPA,20180813,AP002,FR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0064,88.050000,87.750000,88.350000,87.750000,
IBPA,20180813,AP002,FR0069,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0069,100.854700,100.660000,101.054700,100.654700,
IBPA,20180813,AP002,IMFI03ACN3,OBL BKLJ III INDOMOBIL FINANCE THP III TH2018 SR A,100.094105,98.900000,101.294105,98.894105,
IBPA,20180813,AP002,IMFI03BCN1,OBL BKLJT III INDOMOBIL FINANCE THP I TH 2017 SR B,97.689434,99.150000,99.289434,96.089434,
IBPA,20180813,AP002,INDF07,OBLIGASI INDOFOOD SUKSES MAKMUR VII TAHUN 2014,102.559999,101.560000,103.559999,101.559999,
IBPA,20180813,AP002,ISAT01BCN4,OBL BKLJT I INDOSAT TAHAP IV TAHUN 2016 SERI B,100.521880,99.230000,101.821880,99.221880,
IBPA,20180813,AP002,ISAT08A,OBLIGASI INDOSAT VIII TAHUN 2012 SERI A,101.456456,102.330000,102.456456,100.456456,
IBPA,20180813,AP002,JSMR01CCN1S,OBL BKLJT I JASA MARGA THP I TH 2013 SERI S-SERI C,100.273566,99.280000,101.273566,99.273566,
IBPA,20180813,AP002,MEDC03ACN1,OBL BKLJT III MEDCO ENERGI INTL THP I TH 18 SR A,97.160801,95.570000,98.760801,95.560801,
IBPA,20180813,AP002,MYOR04,OBLIGASI IV MAYORA INDAH TAHUN 2012,100.968571,99.968571,101.968571,99.968571,
IBPA,20180813,AP002,NISP02ACN4,OBL BKLJT II BANK OCBC NISP THP IV TH 2018 SERI A,99.216035,98.220000,100.216035,98.216035,
IBPA,20180813,AP002,OTMA01B,OBLIGASI I OTO MULTIARTHA TAHUN 2017 SERI B,100.001339,100.720000,101.301339,98.701339,
IBPA,20180813,AP002,PBS014,SBSN Seri PBS014,97.790500,98.015500,98.015500,97.565500,
IBPA,20180813,AP002,PBS017,SBSN Seri PBS017,89.481472,89.190000,89.781472,89.181472,
IBPA,20180813,AP002,PIGN01A,OBLIGASI I PELINDO 1 GERBANG NUSANTARA TH 16 SR A,100.279784,100.520000,101.279784,99.279784,
IBPA,20180813,AP002,PNBN01SBCN1,OBL SUB BKLJT I BANK PANIN TAHAP I TAHUN 2012,101.522427,100.230000,102.822427,100.222427,
IBPA,20180813,AP002,SIAISA02,SUKUK IJARAH TPS FOOD II TAHUN 2016,,101.530000,,,
IBPA,20180813,AP002,SMII01ACN2,OBL BKLJT I SARANA MULTI INFRA. THP II TH2017 SR A,99.849771,98.850000,100.849771,98.849771,
IBPA,20180813,AP002,SMRA01CN1,OBL BKLJT I SUMMARECON AGUNG TAHAP I TAHUN 2013,100.928794,99.730000,102.128794,99.728794,
IBPA,20180813,AP002,SPSMFBTN04A1,EBA-SP SMF-BTN04 KELAS A SERI A1,97.676116,96.080000,99.276116,96.076116,
IBPA,20180813,BJ002,BCAP02CN1,OBL BKLJT II MNC KAPITAL INDONESIA THP I TH 2018,99.105120,99.105120,101.772320,96.437919,
IBPA,20180813,BJ002,BMTR01ACN1,OBL BKLJT I GLOBAL MEDIACOM THP I TH 2017 SERI A,98.222624,98.222624,100.222624,96.222624,
