PortfolioCode,portfolioname,EQUITY,CORPORATE BONDS,GOVERNMENT BONDS,INVESTMENT FUNDS,MEDIUM TERM NOTES,LAIN2,ASSET
000A6I,000A6IA6001,34840520640,0,0,0,0,3105986768,37946507408
000D1B,000D1BNI002,2605137930,0,0,0,0,388674938.2,2993812868
000D1G,000D1GNI002,0,7933984815,0,0,0,2371044526,10305029341
000D1J,000D1JNI002,0,3955957812,0,0,0,922142025.3,4878099837
000D1S,000D1SNI002,0,50812498000,0,0,0,686907894.4,51499405894
000D1V,000D1VNI002,0,75157521180,0,0,0,874248858.6,76031770039
000D1W,000D1WNI002,0,1.1562E+11,0,0,0,884470797.1,1.16505E+11
000D1X,000D1XNI002,0,96319999000,0,0,0,1298104822,97618103822
000D1Y,000D1YNI002,0,0,3.9712E+11,0,0,26569353292,4.23689E+11
000D2B,000D2BLG002,1.54722E+11,0,13236735700,0,0,13985322153,1.81944E+11
000D2K,000D2KLG002,0,1.71885E+12,0,0,0,1.3138E+11,1.85023E+12
000D2L,000D2LLG002,1.00877E+11,0,0,0,4000000000,11557915689,1.16435E+11
000D2M,000D2MLG002,0,3.23044E+11,52854531290,0,37797067979,29048522994,4.42744E+11
000D4A,000D4AIF002,45397500000,3158030892,10272309730,0,0,6021383080,64849223702
000D4C,000D4CIF002,60801083140,14855920330,0,0,0,21940383164,97597386634
000D4D,000D4DIF002,0,63305636750,28103677697,0,4000000000,3353620714,98762935161
000D4F,000D4FIF002,54646008580,0,0,0,0,12698334568,67344343148
000D4G,000D4GIF002,0,20641543100,0,0,0,869635683.5,21511178783
000D4H,000D4HIF002,0,2.96353E+11,9192847937,0,0,77660338608,3.83206E+11
000D4J,000D4JIF002,91492750000,0,43538317800,0,4500000,20952048383,1.55988E+11
000D4K,000D4KIF002,1.811E+11,0,0,0,0,52861675983,2.33962E+11
000D4L,000D4LIF002,0,20389612038,0,0,0,302643509.7,20692255548
000D4M,000D4MIF002,0,71609870800,0,0,0,674744119.8,72284614920
000D4N,000D4NIF002,8167619300,0,0,0,0,226491782.6,8394111083
000D4O,000D4OIF002,6388500000,0,1826910200,0,0,1569955454,9785365654
000D4P,000D4PIF002,0,0,0,0,39000000000,1099093132,40099093132
000D4Q,000D4QIF002,0,0,0,0,0,4275630405,4275630405
000D4S,000D4SIF002,0,0,0,0,0,4247530280,4247530280
000D7K,000D7KOD002,4097708000,0,68942195357,0,0,10395153148,83435056505
000D7S,000D7SOD002,1.45914E+12,0,0,0,0,1.2722E+11,1.58636E+12
000D7T,000D7TOD002,0,0,0,0,3E+11,12254360425,3.12254E+11
000D7U,000D7UOD002,0,68059103700,0,0,0,1035823071,69094926771
000D8A,000D8ADH002,2.38935E+11,27903500000,1542000000,0,0,31771668886,3.00153E+11
000D8B,000D8BDH002,0,994600000,0,0,0,9490400226,10485000226
000D8F,000D8FDH002,0,7846800000,2159500000,0,500000000,1308565896,11814865896
000D8G,000D8GDH002,2.67143E+12,2.9048E+12,4.90704E+11,0,1.72664E+12,-1.40526E+11,7.65304E+12
000D8H,000D8HDH002,1.61231E+11,1.36846E+11,52820000000,0,14500000000,16735712140,3.82133E+11
000D8I,000D8IDH002,0,0,0,0,0,50108416269,50108416269
000D8J,000D8JDH002,1.25103E+12,5.6931E+11,1.85595E+11,0,1.61E+11,19258658484,2.18619E+12
000D8K,000D8KDH002,0,15822400000,0,0,0,1.40593E+11,1.56415E+11
000D8M,000D8MDH002,0,0,7.0024E+11,0,0,1.55674E+11,8.55914E+11
000D8N,000D8NDH002,38143280000,1.9013E+11,61793248000,0,39000000000,36426863762,3.65493E+11
000D8O,000D8ODH002,2.06209E+11,5000000000,0,0,3000000000,10464843353,2.24674E+11
000D8R,000D8RDH002,1.79939E+12,0,0,0,0,63475610104,1.86286E+12
000D8S,000D8SDH002,55012170600,4055000000,1922000000,0,0,8792367227,69781537827
000D8T,000D8TDH002,47498911780,0,0,0,0,597371951.3,48096283731
000D8U,000D8UDH002,1.60623E+11,3973500000,0,0,0,18023984480,1.8262E+11
000D8X,000D8XDH002,99859791500,0,0,0,0,8098215515,1.07958E+11
000D8Y,000D8YDH002,1.40362E+11,0,0,0,0,5059264612,1.45421E+11
00A14B,00A14B000A14,3267213872,3044398000,0,0,0,229995035.2,6541606907
00A92B,00A92BA92001,23164926305,0,0,0,0,3790584225,26955510530
00B37A,00B37A000B37,19917494600,0,0,0,0,1538372572,21455867172
00D10B,00D10BCD003,94490041400,46129837350,0,0,0,20478210617,1.61098E+11
00D10D,00D10DCD003,0,0,2.33053E+11,0,0,5050118439,2.38103E+11
00D10H,00D10HCD003,0,1.21922E+11,1005176700,0,0,3.70599E+11,4.93526E+11
00D10K,00D10KCD003,0,0,1.06171E+11,0,0,4515555857,1.10687E+11
00D17E,00D17EBZ002,0,1.12238E+11,0,0,0,1646503926,1.13885E+11
00D1AB,00D1ABNI002,0,1.28213E+11,0,0,0,2465179126,1.30678E+11
00D1AC,00D1ACNI002,0,1.44827E+11,0,0,0,1555897803,1.46382E+11
00D1AG,00D1AGNI002,0,1.24614E+11,33800512954,0,0,32509336800,1.90924E+11
00D1AH,00D1AHNI002,0,52225033510,0,0,0,1113523241,53338556751
00D1AI,00D1AINI002,0,1.9699E+11,0,0,0,2356879542,1.99347E+11
00D1AK,00D1AKNI002,0,0,3.34495E+11,0,0,52570809303,3.87066E+11
00D1AL,00D1ALNI002,0,0,0,0,3.89432E+11,11608960599,4.01041E+11
00D1AP,00D1APNI002,0,75046086000,0,0,0,688016834.6,75734102835
00D1AQ,00D1AQNI002,0,89685718685,0,0,0,5105710730,94791429415
00D1AR,00D1ARNI002,0,44863395130,0,0,0,5052248578,49915643708
00D1AS,00D1ASNI002,0,0,0,0,2.98498E+11,5041235280,3.0354E+11
