"ADMF2-C2","FI","ADIRA FIN BKL2-2C/13",00011.000000,04,"07/24/2018","10/24/2018","10/24/2018",1,2
"ADMF2-C3","FI","ADMF BKLJ 2-3C/2014 ",00010.750000,04,"08/14/2018","11/14/2018","05/14/2019",1,2
"ADMF4-A1","FI","ADIRA FIN BKL4-1A/17",00006.150000,04,"09/12/2018","12/22/2018","12/22/2018",1,2
"ADMF4-A2","FI","ADIRA FIN BKL4-2A/18",00006.100000,04,"09/21/2018","12/21/2018","04/01/2019",1,2
"ASDF3-A4","FI","ASTRA SDYA BK3-4A/17",00006.250000,04,"08/02/2018","11/12/2018","11/12/2018",1,2
"ASDF4-A1","FI","ASTRA SDYA BK4-1A/18",00006.100000,04,"08/25/2018","11/25/2018","06/05/2019",1,2
"ASFI3-B1","FI","ASTRA SDYA BK3-1B/16",00008.500000,04,"08/11/2018","11/11/2018","05/11/2019",1,2
"BAFI1-A ","FI","BUSAN AUTO FIN1-A/17",00006.750000,04,"08/03/2018","11/08/2018","11/08/2018",1,2
"BAFI2-A ","FI","BUSAN AUTO FIN2-A/18",00006.200000,04,"08/15/2018","11/15/2018","05/20/2019",1,2
"BBRI1-2B","FI","BANK BRI BKL 1-2B/16",00009.250000,04,"08/04/2018","11/04/2018","02/04/2019",1,2
"BBRI1-3B","FI","BANK BRI BKL 1-3B/16",00008.200000,04,"08/25/2018","11/25/2018","05/25/2019",1,2
"BEXI2-B7","FI","I.EXIMBANK BK2-7B/16",00009.250000,04,"08/19/2018","11/19/2018","02/19/2019",1,2
"BEXI3-B1","FI","I.EXIMBANK BK3-1B/16",00008.200000,04,"09/08/2018","12/08/2018","06/08/2019",1,2
"BEXI3-B2","FI","I.EXIMBANK BK3-2B/16",00007.950000,04,"08/25/2018","11/25/2018","08/25/2019",1,2
"BFIN3-A4","FI","BFI FIN BKLJ 3-4A/18",00006.400000,04,"09/06/2018","12/06/2018","03/16/2019",1,2
"BIIF1-1A","FI","BII FIN. BKL 1-1A/15",00010.350000,04,"08/12/2018","11/12/2018","11/12/2018",1,2
"BIIF1-2A","FI","BII FIN. BKL 1-2A/16",00009.100000,04,"07/13/2018","10/13/2018","04/13/2019",1,2
"BMLK2-A ","FI","BANK MALUKU 2A/2017 ",00007.500000,04,"09/08/2018","12/08/2018","12/18/2018",1,2
"BNII-SM2","FI","MAYBANK SUK.BK1-2/16",00008.154700,04,"09/10/2018","12/10/2018","06/10/2019",1,2
"BNII1-S1","FI","B.BII SUB. BKLJ 1/11",00010.000000,04,"09/06/2018","12/06/2018","12/06/2018",1,2
"EXCL1B-S","FI","XLAXIATA BK 1B SI/15",00010.250000,04,"09/02/2018","12/02/2018","12/02/2018",1,2
"FIF2-3B ","FI","FIF BKLJ 2-3B/16    ",00009.150000,04,"07/05/2018","10/05/2018","04/05/2019",1,2
"FIFA3-A2","FI","FIF BKLJ 3-2A/17    ",00006.500000,04,"07/10/2018","10/20/2018","10/20/2018",1,2
"FIFA3-A3","FI","FIF BKLJ 3-3A/18    ",00006.100000,04,"07/11/2018","10/11/2018","04/21/2019",1,2
"IMFI2-2B","FI","INDOMBL F BKL2-2B/15",00010.750000,04,"08/06/2018","11/06/2018","11/06/2018",1,2
"IMFI3-A2","FI","INDOMBL F BKL3-2A/18",00006.800000,04,"08/15/2018","11/15/2018","02/25/2019",1,2
"IMFI3-A3","FI","INDOMBL BKL3-3A/18  ",00006.500000,04,"08/18/2018","11/18/2018","05/28/2019",1,2
"INDF7   ","FI","INDOFOOD SM 7/2014  ",00010.125000,04,"09/13/2018","12/13/2018","06/13/2019",1,2
"ISAT1-3A","FI","INDOSAT BKLJ 1-3A/15",00010.000000,04,"09/08/2018","12/08/2018","12/08/2018",1,2
"ISAT1-4B","FI","INDOSAT BKLJ 1-4B/16",00008.000000,04,"09/02/2018","12/02/2018","09/02/2019",1,2
"ISAT2-A2","FI","INDOSAT BKLJ 2-2A/17",00006.150000,04,"08/09/2018","11/19/2018","11/19/2018",1,2
"ISAT2-A3","FI","INDOSAT BKLJ2-3A/18 ",00006.050000,04,"08/03/2018","11/03/2018","05/13/2019",1,2
"ISAT5-SI","FI","INDOSAT SUKUK I 5/12",00008.625000,04,"09/27/2018","12/27/2018","06/27/2019",1,2
"ISAT8-A ","FI","INDOSAT 8-A/2012    ",00008.625000,04,"09/27/2018","12/27/2018","06/27/2019",1,2
"JMAR1-1C","FI","JSAMARGA BKL1S-1C/13",00008.900000,04,"09/27/2018","09/27/2018","09/27/2018",1,2
"JMAR1-2T","FI","JSAMARGA BKL 1-2T/14",00009.850000,04,"09/19/2018","12/19/2018","09/19/2019",1,2
"MAPI1-B2","FI","MTRA ADI P BKL-2B/14",00011.500000,04,"08/20/2018","11/20/2018","02/20/2019",1,2
"MNCP-1S ","FI","MTN MNC PICT SI 1/18",00010.200000,04,"07/30/2018","10/30/2018","02/10/2019",1,2
"NISP2-2B","FI","OCBC NISP BKL2-2B/17",00007.300000,04,"08/22/2018","11/22/2018","08/22/2019",1,2
"NISP2-3A","FI","OCBC NISP BKL2-3A/17",00006.150000,04,"09/12/2018","12/22/2018","12/22/2018",1,2
"NISP2-A4","FI","OCBC NISP BKL2-4A/18",00006.000000,04,"07/10/2018","10/10/2018","04/20/2019",1,2
"OTMA2-A ","FI","OTO MULTIARTHA 2A/18",00005.750000,04,"07/18/2018","10/18/2018","04/28/2019",1,2
"PPGD3-A1","FI","PGADAIAN BKL 3-1A/17",00006.550000,04,"07/03/2018","10/13/2018","10/13/2018",1,2
"RI-SR008","FI","SUKUK NEG.RITEL SR08",00008.300000,12,"09/10/2018","10/10/2018","03/10/2019",2,1
"SMFP3-5B","FI","SMFP BKLJ 3-5B/16   ",00008.200000,04,"09/17/2018","12/17/2018","06/17/2019",1,2
"SMFP4-2A","FI","SMFP BKLJ 4-2A/17   ",00006.250000,04,"07/13/2018","10/23/2018","10/23/2018",1,2
"SMFP4-3A","FI","SMFP BKLJ 4-3A/18   ",00006.000000,04,"08/20/2018","11/20/2018","03/02/2019",1,2
"SMII1-A2","FI","SRN MLT INFBK1-2A/17",00006.150000,04,"08/15/2018","11/25/2018","11/25/2018",1,2
"SMRA1-C1","FI","SUMMARECON BKLJ 1/13",00010.850000,04,"09/11/2018","12/11/2018","12/11/2018",1,2
"SMRA1-SC","FI","SUMARECON SI BKL1/13",00010.850000,04,"09/11/2018","12/11/2018","12/11/2018",1,2
"SPNP-4  ","FI","MTN SNP 4/17        ",00012.500000,04,"08/06/2018","11/16/2018","11/16/2018",1,2
"SPNP3-A ","FI","MTN SNP 3A/17       ",00012.500000,04,"07/20/2018","10/30/2018","10/30/2018",1,2
"TAFS1-3B","FI","TAFS BKLJ 1-3B/15   ",00009.500000,04,"08/06/2018","11/06/2018","11/06/2018",1,2
"TAFS2-1B","FI","TAFS BKLJ 2-1B/16   ",00008.400000,04,"09/01/2018","12/01/2018","06/01/2019",1,2
"TUFI2-1A","FI","MDRI TUFIN BK2-1A/15",00010.200000,04,"09/18/2018","12/18/2018","12/18/2018",1,2
"TUFI2-2A","FI","MDRI TUFIN BK2-2A/16",00008.950000,04,"09/01/2018","12/01/2018","06/01/2019",1,2
"WOMF2-A3","FI","WOMFINANCE BK2-3A/17",00007.150000,04,"09/06/2018","12/16/2018","12/16/2018",1,2
"WOMF2-A4","FI","WOMFINANCE BK2-4A/18",00006.850000,04,"07/06/2018","10/06/2018","04/16/2019",1,2
"WOMF2-A5","FI","WOMFINANCE BK2-5A/18",00007.350000,04,"09/08/2018","12/08/2018","06/18/2019",1,2
